fundamental	adj. 基本的 n. 基本原则
grip	v. 握紧，抓牢 n. 紧握
limitation	n. 限制，局限
parliament	n. 议会
pacific	adj. 和平的 n. 太平洋
against	prep. 倚着，对着
confine	v. 限制，禁闭
ceiling	n. 天花板
necessity	n. 必要性，必需品
mercury	n. 水银
materialism	n. 唯物主义
darling	n. 亲爱的人，宠儿
billion	num. 十亿
incident	n. 事件
acquaintance	n. 熟人，认识
injection	n. 注射，注入
indignant	adj. 愤慨的
transparent	adj. 透明的，明显的
everybody	pron. 每人
theoretical	adj. 理论的
england	n. 英格兰，英国
intensity	n. 强度，强烈
violet	n. 紫罗兰 adj. 紫色的
attitude	n. 态度，看法
slender	adj. 苗条的，细长的
delicious	adj. 美味的，怡人的
somehow	adv. 以某种方式，不知怎么地
landlady	n. 女房东
earthquake	n. 地震
grandson	n. 孙子，外孙
feeling	n. 感觉，感情
trap	n. 陷阱，圈套 v. 诱捕
overlook	v. 忽视，俯瞰
spade	n. 铁锹
whistle	n. 口哨 v. 吹口哨，鸣笛
nitrogen	n. 氮
inhabitant	n. 居民
preposition	n. 介词
fruitful	adj. 多产的，肥沃的
million	num. 百万 n. 许多
biology	n. 生物学
independent	adj. 独立的，自主的
finally	adv. 最后，终于
ambition	n. 雄心，野心
electric	adj. 电动的
velocity	n. 速度
examination	n. 考试，检查
kindness	n. 仁慈，好意
heroine	n. 女英雄，女主角
cricket	n. 板球，蟋蟀
structural	adj. 结构的
precaution	n. 预防，警惕
question	n. 问题
pronoun	n. 代词
clarify	v. 澄清，阐明
investigation	n. 调查
attractive	adj. 有吸引力的
platform	n. 站台，平台
communism	n. 共产主义
intensive	adj. 加强的，精深的
disgust	n. 厌恶 v. 使厌恶
utilize	v. 利用
protection	n. 保护
connect	v. 连接，联系
temper	n. 脾气，情绪 v. 缓和，调和
multicultural	adj. 多元文化的
concede	v. 承认，让步
editorial	adj. 编辑的，社论的 n. 社论
rebuild	v. 重建
dominate	v. 支配，控制
fantasy	n. 幻想，想象
frustrate	v. 使沮丧，挫败
up-to-date	adj. 最新的，现代的
translation	n. 翻译，译文
draught	n. 穿堂风 adj. 散装的
integration	n. 综合
violence	n. 暴力，猛烈
well-known	adj. 著名的
surge	v. 汹涌，奔腾 n. 汹涌，高涨
tutor	v. 辅导 n. 导师，家庭教师
senator	n. 参议员
thirsty	adj. 口渴的，渴望的
obligation	n. 义务，责任
fantastic	adj. 极好的，奇异的，难以置信的
confidential	adj. 机密的，秘密的
currency	n. 货币，流通
legislation	n. 立法，法规
surplus	adj. 多余的 n. 剩余，盈余
correspondence	n. 通信，信件，一致
declaration	n. 宣布，宣言，声明
deception	n. 欺骗，诡计
solicitor	n. 律师，法律顾问
doctoral	adj. 博士的
stare	v. 盯，凝视
generic	adj. 一般的，普通的
whoever	pron. 无论谁，究竟是谁
specifically	adv. 特别地，明确地，具体地
controversial	adj. 有争议的
preventive	adj. 预防性的
smash	v. 粉碎，猛击，猛冲 n. 破碎，巨大成功
unfortunately	adv. 不幸地
heterogeneity	n. 异质，不同成分
alliance	n. 联盟
salesman	n. 售货员，推销员
developmental	adj. 发展的
compassion	n. 同情，怜悯
predictable	adj. 可预料的
profile	n. 侧面，轮廓，简介 v. 描绘
whichever	adj. 无论哪个
pluralism	n. 多元化，多重性
involvement	n. 参与，卷入
hearing	n. 听力，听觉，听证会
acquisition	n. 获得，习得，获得物
so-called	adj. 所谓的
accountant	n. 会计师
recreational	adj. 娱乐的
bracket	n. 括号 v. 归类
conviction	n. 确信，信仰，定罪
spelling	n. 拼写，拼法
universe	n. 宇宙，世界
