contrast	n. 对比，反差 v. 对比，对照
worthwhile	adj. 值得的，有价值的
cruelty	n. 残暴，残酷
threaten	v. 威胁，恐吓，预示
chemical	adj. 化学的 n. 化学制品
consistent	adj. 一致的，一贯的
takeoff	n. 起飞
innocent	adj. 无辜的，天真的，清白的
currently	adv. 目前，当前
dropout	n. 辍学者
replace	v. 代替，取代，更换
sightseeing	n. 观光，游览
imitate	v. 模仿，仿效
installment	n. 分期付款
personality	n. 个性，性格，名人
ingredient	n. 成分，原料，要素
revenue	n. 收入，税收
sensitive	adj. 敏感的，灵敏的，易受伤害的
particular	adj. 特别的，特定的，挑剔的
consequence	n. 结果，后果，重要性
explicitly	adv. 明确地
sway	v. 影响，摇摆 n. 摇摆，影响
technical	adj. 技术的
imaginary	adj. 想象的，虚构的
contaminate	v. 污染，弄脏
soar	v. 猛增，高飞，高涨
tremendous	adj. 巨大的，极好的
civilization	n. 文明，文化
embrace	v. 拥抱，欣然接受，包括 n. 拥抱
performance	n. 表演，表现，性能
violate	v. 违反，违背
associate	v. 联系，交往 n. 同事，伙伴 adj. 副的
privacy	n. 隐私
consult	v. 咨询，请教，查阅
preservation	n. 保存，保护
distance	n. 距离，远处
predict	v. 预测，预言
entertainment	n. 娱乐，娱乐节目
critical	adj. 批评的，决定性的，关键的
transaction	n. 交易，业务
distract	v. 使分心
subdivision	n. 分支，分部
yield	v. 产生，出产，屈服 n. 产量
immeasurable	adj. 无法估量的
convincing	adj. 令人信服的
compare	v. 比较，对照
concrete	adj. 具体的 n. 混凝土
restrict	v. 限制，约束
establish	v. 建立，确立，证实
counseling	n. 咨询服务
majority	n. 多数，大多数
contact	n. 联系，接触 v. 联系，接触
virtual	adj. 虚拟的，实际上的
simplicity	n. 简单，朴素
enrollment	n. 入学，注册
programming	n. 编程，程序设计，节目
previous	adj. 以前的，先前的
interconnect	v. 相互联系
consent	v. 同意，允许 n. 同意，赞同
utility	n. 公用事业，效用
poisonous	adj. 有毒的
collision	n. 碰撞，冲突
fundamentally	adv. 根本上
inflation	n. 通货膨胀，膨胀
interpret	v. 解释，口译
criticize	v. 批评，评论
implementation	n. 实施，执行
initiate	v. 开始，发起
overcharge	v. 多收费
shortcut	n. 捷径，近路
leisure	n. 闲暇，空闲
original	adj. 最初的，新颖的，原版的 n. 原件，原作
density	n. 密度，密集
department	n. 部门，系
dictator	n. 独裁者
diversity	n. 多样性，差异
quit	v. 停止，放弃，辞职
outgoing	adj. 外向的，开朗的
solution	n. 解决，办法，溶液
revenge	n. 报仇
reverse	n. 相反，反面 adj. 相反的，反向的 v. 颠倒，反转
logically	adv. 合乎逻辑地
component	n. 组成部分，部件 adj. 组成的
quotation	n. 引文，引语，报价
invalid	adj. 无效的
separately	adv. 分别地，另行
accessible	adj. 可接近的，可获得的
character	n. 性格，角色，人物
widespread	adj. 普遍的，广泛的
rearrange	v. 重新安排
hospitalize	v. 住院，就医
instant	adj. 立即的，速溶的 n. 瞬间
democratic	adj. 民主的
initially	adv. 最初
slightly	adv. 轻微地
objection	n. 反对，异议
atmosphere	n. 气氛，大气
evidence	n. 证据，迹象
racially	adv. 种族上地
exclude	v. 排除，不包括
available	adj. 可利用的，现有的，可获得的
puzzling	adj. 令人困惑的
evaluation	n. 评价，评估
irritate	v. 激怒
distinguished	adj. 杰出的，显著的
mutually	adv. 互相地
mission	n. 使命，任务
migration	n. 迁移，移民
expectation	n. 期望，期待
reproductive	adj. 生殖的
incredible	adj. 难以置信的，惊人的
backward	adv. 向后 adj. 落后的，向后的
prohibit	v. 禁止，阻止
instrument	n. 仪器，工具，乐器
mask	v. 掩饰 n. 面具，口罩
essential	adj. 必要的，本质的 n. 必需品
harvest	n. 收获，收成 v. 收割
advancement	n. 进步，提升
skyrocket	v. 猛涨
characteristic	n. 特点，特性 adj. 典型的
