helpless	adj. 无助的
mutter	v. 咕哝，抱怨
peculiar	adj. 奇怪的，特有的
anxious	adj. 焦虑的，渴望的
generator	n. 发电机
limb	n. 肢体
disposal	n. 处理，处置
analyse	v. 分析
repetition	n. 重复
married	adj. 已婚的
envelope	n. 信封
calculation	n. 计算
intermediate	adj. 中级的，中间的
accessary	n. 同谋，从犯
dwelling	n. 住处
omit	v. 省略，遗漏
announcer	n. 播音员
engineering	n. 工程，工程学
formula	n. 公式，配方，原则
lieutenant	n. 陆军中尉
dependent	adj. 依赖的，取决于…的
cooperate	v. 合作，协作
gymnasium	n. 体育馆，健身房
construct	v. 建造，构思 n. 建筑物
shelter	n. 掩蔽处，掩蔽，庇护 v. 掩蔽，庇护
uniform	adj. 一致的 n. 制服
promise	n. 诺言 v. 允诺
international	adj. 国际的
learned	adj. 有学问的，学术上的
prescribe	v. 开处方，规定
relativity	n. 相对论，相对性
internal	adj. 内部的，国内的
meaning	n. 意义，意思
maintenance	n. 维修，保养，抚养费
correction	n. 改正，修改
shed	v. 脱落，流出 n. 棚，小屋
america	n. 美洲，美国
directly	adv. 直接地，立即
analysis	n. 分析，解析
intentional	adj. 故意的
amongst	prep. 在…之中
circuit	n. 电路，线路
reservoir	n. 水库，蓄水池
product	n. 产品，产物，乘积
official	adj. 官方的，正式的 n. 官员
obvious	adj. 明显的
journalist	n. 记者
weakness	n. 弱点，虚弱
picture	n. 图画，图片 v. 描绘
semiconductor	n. 半导体
odd	adj. 奇特的，奇数的，临时的
traffic	n. 交通
unconscious	adj. 不省人事的
reading	n. 阅读
physician	n. 内科医生
proportional	adj. 成比例的
harness	v. 控制，利用 n. 马具
license	n. 执照 v. 准许
organism	n. 生物体，有机体
machine	n. 机器，机械
nuisance	n. 讨厌的人（物）
distinction	n. 差别，区分
mosquito	n. 蚊子
typewriter	n. 打字机
policeman	n. 警察
christmas	n. 圣诞节
interest	n. 兴趣，利益，利息 v. 使感兴趣
farewell	int. 再会 n. 告别
fashion	n. 时尚，方式
principal	adj. 主要的 n. 校长，本金
evaporate	v. 蒸发
upright	adj. 垂直的，正直的 adv. 挺直着
stocking	n. 长袜
faculty	n. 系，才能，全体教员
conference	n. 会议
different	adj. 不同的，各种的
ordinary	adj. 普通的
anywhere	adv. 任何地方
comprehension	n. 理解，理解力
otherwise	adv. 否则
movement	n. 动作，活动
ancestor	n. 祖先
liberal	adj. 自由的，慷慨的
tropical	adj. 热带的
molecule	n. 分子
general	adj. 总的，一般的 n. 将军
however	adv. 然而
circular	adj. 圆的，循环的 n. 通知
enthusiastic	adj. 热情的，热心的
landlord	n. 房东，地主
volcano	n. 火山
flavour	n. 味道
outstanding	adj. 杰出的，突出的
geography	n. 地理，地理学
probable	adj. 很可能的
central	adj. 中心的，主要的
expensive	adj. 昂贵的
provide	v. 提供
canadian	adj. 加拿大的
exclaim	v. 呼喊
entrance	n. 入口
compress	v. 压缩
connection	n. 连接，联系
marvellous	adj. 了不起的
footstep	n. 脚步
himself	pron. 他自己
butterfly	n. 蝴蝶
necessarily	adv. 必然，必定
description	n. 描写，形容
community	n. 社区，社会，团体
swing	v. 摇摆，回转 n. 摇摆，秋千
astronaut	n. 宇航员
memorial	adj. 纪念的 n. 纪念碑，纪念堂
dispose	v. 处理，解决，去掉
brighten	v. 使明亮，使快活
addition	n. 加法，附加物
beginner	n. 初学者
impress	v. 给…深刻印象，印 n. 印记，特征
pollute	v. 污染，弄脏
experimental	adj. 实验的，试验的
